,Adrara San Martino,Adrara San Rocco,Albano Sant'Alessandro,Albino,Algua,Alme,Almenno San Bartolomeo,Almenno San Salvatore,Alzano Lombardo,Ambivere,Antegnate,Arcene,Ardesio,Arzago d'Adda,Averara,Aviatico,Azzano San Paolo,Azzone,Bagnatica,Barbata,Bariano,Barzana,Bedulita,Berbenno,Bergamo,Berzo San Fermo,Bianzano,Blello,Bolgare,Boltiere,Bonate Sopra,Bonate Sotto,Borgo di Terzo,Bossico,Bottanuco,Bracca,Branzi,Brembate,Brembate di Sopra,Brignano Gera d'Adda,Brumano,Brusaporto,Calcinate,Calcio,Calusco d'Adda,Calvenzano,Camerata Cornello,Canonica d'Adda,Capizzone,Capriate San Gervasio,Caprino Bergamasco,Caravaggio,Carobbio degli Angeli,Carona,Carvico,Casazza,Casirate d'Adda,Casnigo,Cassiglio,Castel Rozzone,Castelli Calepio,Castione della Presolana,Castro,Cavernago,Cazzano Sant'Andrea,Cenate Sopra,Cenate Sotto,Cene,Cerete,Chignolo d'Isola,Chiuduno,Cisano Bergamasco,Ciserano,Cividate al Piano,Clusone,Colere,Cologno al Serio,Colzate,Comun Nuovo,Corna Imagna,Cornalba,Cortenuova,Costa Serina,Costa Valle Imagna,Costa Volpino,Costa di Mezzate,Covo,Credaro,Curno,Cusio,Dalmine,Dossena,Endine Gaiano,Entratico,Fara Gera d'Adda,Fara Olivana con Sola,Filago,Fino del Monte,Fiorano al Serio,Fontanella,Fonteno,Foppolo,Foresto Sparso,Fornovo San Giovanni,Fuipiano Valle Imagna,Gandellino,Gandino,Gandosso,Gaverina Terme,Gazzaniga,Ghisalba,Gorlago,Gorle,Gorno,Grassobbio,Gromo,Grone,Grumello del Monte,Isola di Fondra,Isso,Lallio,Leffe,Lenna,Levate,Locatello,Lovere,Lurano,Luzzana,Madone,Mapello,Martinengo,Medolago,Mezzoldo,Misano di Gera d'Adda,Moio de' Calvi,Monasterolo del Castello,Montello,Morengo,Mornico al Serio,Mozzanica,Mozzo,Nembro,Olmo al Brembo,Oltre il Colle,Oltressenda Alta,Oneta,Onore,Orio al Serio,Ornica,Osio Sopra,Osio Sotto,Pagazzano,Paladina,Palazzago,Palosco,Parre,Parzanica,Pedrengo,Peia,Pianico,Piario,Piazza Brembana,Piazzatorre,Piazzolo,Pognano,Ponte Nossa,Ponte San Pietro,Ponteranica,Pontida,Pontirolo Nuovo,Pradalunga,Predore,Premolo,Presezzo,Pumenengo,Ranica,Ranzanico,Riva di Solto,Rogno,Romano di Lombardia,Roncobello,Roncola,Rota d'Imagna,Rovetta,San Giovanni Bianco,San Paolo d'Argon,San Pellegrino Terme,Sant'Omobono Terme,Santa Brigida,Sarnico,Scanzorosciate,Schilpario,Sedrina,Selvino,Seriate,Serina,Solto Collina,Solza,Songavazzo,Sorisole,Sotto il Monte Giovanni XXIII,Sovere,Spinone al Lago,Spirano,Stezzano,Strozza,Suisio,Taleggio,Tavernola Bergamasca,Telgate,Terno d'Isola,Torre Boldone,Torre Pallavicina,Torre de' Busi,Torre de' Roveri,Trescore Balneario,Treviglio,Treviolo,Ubiale Clanezzo,Urgnano,Val Brembilla,Valbondione,Valbrembo,Valgoglio,Valleve,Valnegra,Valtorta,Vedeseta,Verdellino,Verdello,Vertova,Viadanica,Vigano San Martino,Vigolo,Villa d'Adda,Villa d'Alme,Villa d'Ogna,Villa di Serio,Villongo,Vilminore di Scalve,Zandobbio,Zanica,Zogno
Strozza,19.0,20.0,15.0,17.0,23.0,15.0,12.0,12.0,16.0,14.0,22.0,19.0,21.0,22.0,24.0,27.0,13.0,21.0,16.0,22.0,21.0,12.0,20.0,20.0,12.0,19.0,23.0,18.0,18.0,16.0,13.0,16.0,25.0,25.0,15.0,20.0,17.0,20.0,12.0,22.0,25.0,18.0,18.0,20.0,15.0,19.0,18.0,21.0,18.0,17.0,17.0,20.0,20.0,19.0,16.0,17.0,20.0,21.0,21.0,22.0,20.0,20.0,27.0,15.0,19.0,20.0,20.0,19.0,20.0,18.0,17.0,15.0,20.0,21.0,21.0,20.0,17.0,21.0,18.0,18.0,27.0,16.0,19.0,22.0,22.0,18.0,18.0,24.0,16.0,23.0,15.0,22.0,16.0,23.0,19.0,20.0,16.0,22.0,16.0,21.0,25.0,24.0,20.0,19.0,21.0,20.0,19.0,21.0,18.0,18.0,17.0,18.0,17.0,19.0,17.0,19.0,20.0,21.0,26.0,26.0,15.0,21.0,24.0,18.0,17.0,22.0,19.0,20.0,18.0,12.0,17.0,14.0,23.0,24.0,26.0,21.0,19.0,18.0,21.0,20.0,14.0,14.0,26.0,20.0,23.0,22.0,22.0,27.0,27.0,17.0,18.0,22.0,12.0,10.0,19.0,20.0,20.0,18.0,22.0,22.0,21.0,21.0,26.0,25.0,16.0,19.0,14.0,17.0,15.0,18.0,18.0,20.0,20.0,12.0,25.0,15.0,24.0,22.0,21.0,17.0,20.0,15.0,18.0,19.0,14.0,15.0,15.0,16.0,20.0,22.0,15.0,26.0,15.0,19.0,15.0,20.0,25.0,18.0,24.0,16.0,13.0,17.0,20.0,16.0,15.0,0.0,15.0,20.0,21.0,17.0,16.0,16.0,25.0,23.0,15.0,16.0,17.0,17.0,13.0,17.0,12.0,18.0,15.0,25.0,26.0,26.0,23.0,21.0,16.0,16.0,20.0,22.0,22.0,26.0,18.0,16.0,20.0,15.0,18.0,18.0,18.0,19.0,15.0
Suisio,21.0,22.0,17.0,18.0,23.0,14.0,10.0,13.0,16.0,7.0,17.0,10.0,18.0,19.0,27.0,27.0,15.0,25.0,14.0,18.0,14.0,11.0,19.0,17.0,14.0,20.0,22.0,14.0,19.0,12.0,4.0,5.0,23.0,28.0,4.0,22.0,22.0,10.0,10.0,17.0,23.0,17.0,18.0,20.0,3.0,16.0,21.0,20.0,16.0,11.0,10.0,13.0,21.0,21.0,5.0,17.0,17.0,17.0,19.0,16.0,18.0,21.0,28.0,17.0,18.0,18.0,19.0,17.0,19.0,6.0,19.0,9.0,14.0,20.0,19.0,22.0,14.0,20.0,14.0,15.0,29.0,16.0,17.0,22.0,21.0,16.0,16.0,25.0,13.0,21.0,11.0,25.0,17.0,23.0,12.0,15.0,4.0,22.0,17.0,17.0,29.0,28.0,19.0,17.0,20.0,20.0,17.0,24.0,22.0,18.0,15.0,18.0,15.0,19.0,13.0,16.0,23.0,21.0,29.0,28.0,14.0,20.0,27.0,12.0,15.0,20.0,12.0,21.0,6.0,8.0,19.0,6.0,23.0,25.0,28.0,21.0,19.0,16.0,21.0,14.0,13.0,15.0,29.0,18.0,25.0,19.0,19.0,27.0,27.0,11.0,10.0,18.0,13.0,13.0,20.0,18.0,22.0,17.0,18.0,22.0,19.0,20.0,29.0,27.0,16.0,19.0,10.0,13.0,8.0,12.0,18.0,22.0,17.0,12.0,24.0,16.0,23.0,23.0,23.0,18.0,19.0,12.0,15.0,19.0,14.0,15.0,14.0,14.0,19.0,22.0,17.0,24.0,14.0,18.0,15.0,19.0,27.0,9.0,27.0,14.0,7.0,19.0,17.0,11.0,12.0,15.0,0.0,21.0,23.0,18.0,6.0,15.0,24.0,17.0,17.0,16.0,12.0,11.0,13.0,15.0,11.0,20.0,13.0,26.0,29.0,29.0,20.0,22.0,10.0,12.0,19.0,24.0,23.0,28.0,10.0,13.0,22.0,14.0,19.0,18.0,18.0,14.0,16.0
Taleggio,24.0,22.0,19.0,21.0,18.0,18.0,17.0,18.0,21.0,21.0,22.0,22.0,20.0,18.0,19.0,17.0,18.0,18.0,19.0,22.0,22.0,17.0,17.0,14.0,19.0,21.0,18.0,19.0,20.0,19.0,20.0,21.0,17.0,21.0,21.0,14.0,17.0,22.0,20.0,17.0,17.0,20.0,21.0,23.0,21.0,23.0,17.0,19.0,19.0,19.0,23.0,22.0,15.0,13.0,22.0,21.0,18.0,24.0,14.0,16.0,24.0,23.0,20.0,17.0,23.0,21.0,16.0,21.0,21.0,23.0,20.0,22.0,21.0,21.0,21.0,23.0,20.0,19.0,19.0,19.0,20.0,18.0,21.0,17.0,25.0,19.0,21.0,20.0,19.0,24.0,20.0,17.0,20.0,18.0,23.0,22.0,21.0,16.0,21.0,22.0,20.0,18.0,21.0,15.0,17.0,22.0,22.0,19.0,18.0,20.0,18.0,19.0,20.0,19.0,19.0,19.0,20.0,20.0,21.0,21.0,18.0,25.0,20.0,20.0,18.0,24.0,19.0,18.0,21.0,19.0,20.0,21.0,19.0,22.0,19.0,17.0,20.0,22.0,16.0,23.0,18.0,20.0,20.0,18.0,18.0,16.0,21.0,20.0,20.0,18.0,20.0,20.0,17.0,18.0,22.0,22.0,24.0,22.0,24.0,17.0,21.0,15.0,21.0,20.0,21.0,21.0,21.0,18.0,22.0,21.0,22.0,21.0,21.0,19.0,23.0,19.0,20.0,19.0,21.0,20.0,21.0,23.0,14.0,19.0,15.0,20.0,16.0,18.0,15.0,23.0,19.0,19.0,15.0,19.0,19.0,20.0,20.0,21.0,19.0,19.0,19.0,21.0,23.0,21.0,19.0,20.0,21.0,0.0,26.0,19.0,20.0,20.0,17.0,19.0,18.0,19.0,20.0,19.0,18.0,18.0,17.0,20.0,18.0,20.0,21.0,20.0,21.0,15.0,20.0,21.0,21.0,24.0,17.0,21.0,23.0,18.0,21.0,20.0,21.0,21.0,22.0,21.0,16.0
Tavernola Bergamasca,14.0,18.0,17.0,13.0,25.0,16.0,21.0,21.0,15.0,21.0,18.0,23.0,20.0,25.0,25.0,24.0,18.0,24.0,18.0,21.0,19.0,23.0,22.0,22.0,15.0,15.0,18.0,18.0,16.0,24.0,22.0,22.0,21.0,20.0,21.0,24.0,20.0,24.0,16.0,22.0,26.0,18.0,17.0,13.0,22.0,20.0,20.0,23.0,20.0,21.0,24.0,20.0,21.0,24.0,21.0,17.0,25.0,17.0,20.0,22.0,16.0,14.0,26.0,17.0,21.0,16.0,19.0,16.0,19.0,22.0,15.0,21.0,20.0,13.0,17.0,18.0,17.0,18.0,19.0,16.0,27.0,19.0,19.0,25.0,13.0,21.0,18.0,18.0,17.0,21.0,17.0,25.0,17.0,22.0,23.0,18.0,22.0,21.0,13.0,20.0,26.0,28.0,16.0,22.0,23.0,17.0,17.0,23.0,21.0,17.0,17.0,18.0,18.0,17.0,18.0,18.0,22.0,15.0,27.0,25.0,18.0,20.0,22.0,21.0,18.0,15.0,23.0,20.0,23.0,21.0,17.0,20.0,25.0,23.0,26.0,19.0,18.0,19.0,18.0,21.0,19.0,14.0,26.0,21.0,23.0,21.0,19.0,25.0,24.0,20.0,22.0,23.0,18.0,17.0,13.0,19.0,15.0,15.0,17.0,17.0,21.0,21.0,27.0,27.0,22.0,17.0,21.0,18.0,21.0,21.0,16.0,20.0,17.0,20.0,24.0,13.0,20.0,15.0,14.0,14.0,17.0,23.0,23.0,18.0,21.0,18.0,18.0,17.0,19.0,14.0,16.0,23.0,16.0,19.0,14.0,16.0,25.0,21.0,27.0,20.0,21.0,16.0,18.0,20.0,19.0,21.0,23.0,26.0,0.0,19.0,23.0,15.0,24.0,20.0,17.0,19.0,21.0,20.0,19.0,18.0,18.0,16.0,20.0,25.0,27.0,27.0,21.0,25.0,20.0,19.0,17.0,21.0,23.0,22.0,24.0,18.0,16.0,17.0,14.0,19.0,21.0,16.0,17.0
Telgate,15.0,14.0,16.0,14.0,20.0,14.0,18.0,19.0,14.0,19.0,19.0,18.0,18.0,21.0,22.0,18.0,16.0,23.0,15.0,19.0,17.0,20.0,22.0,21.0,13.0,15.0,17.0,20.0,15.0,21.0,17.0,20.0,17.0,24.0,19.0,20.0,22.0,20.0,17.0,22.0,22.0,15.0,15.0,17.0,19.0,16.0,18.0,21.0,19.0,17.0,19.0,18.0,15.0,19.0,19.0,13.0,24.0,15.0,21.0,22.0,13.0,19.0,24.0,14.0,17.0,15.0,15.0,15.0,17.0,18.0,13.0,17.0,20.0,16.0,18.0,21.0,14.0,19.0,16.0,17.0,24.0,15.0,18.0,21.0,18.0,14.0,17.0,21.0,15.0,21.0,16.0,23.0,13.0,17.0,20.0,16.0,18.0,19.0,11.0,19.0,22.0,23.0,14.0,18.0,20.0,17.0,15.0,18.0,17.0,15.0,13.0,13.0,14.0,18.0,15.0,17.0,16.0,12.0,24.0,23.0,16.0,17.0,25.0,18.0,15.0,17.0,20.0,17.0,20.0,19.0,13.0,19.0,23.0,21.0,23.0,17.0,15.0,16.0,17.0,19.0,15.0,13.0,23.0,17.0,20.0,19.0,16.0,23.0,24.0,17.0,19.0,21.0,18.0,17.0,15.0,18.0,21.0,14.0,18.0,16.0,15.0,20.0,24.0,22.0,19.0,15.0,17.0,15.0,18.0,19.0,15.0,19.0,19.0,16.0,21.0,14.0,18.0,21.0,20.0,16.0,19.0,19.0,17.0,15.0,16.0,14.0,16.0,18.0,20.0,16.0,15.0,23.0,14.0,16.0,14.0,19.0,22.0,20.0,23.0,18.0,18.0,15.0,17.0,18.0,16.0,17.0,18.0,19.0,19.0,0.0,18.0,14.0,18.0,22.0,14.0,14.0,18.0,16.0,19.0,15.0,16.0,18.0,20.0,20.0,24.0,24.0,20.0,19.0,19.0,17.0,15.0,19.0,16.0,23.0,22.0,16.0,20.0,15.0,14.0,20.0,15.0,17.0,17.0
Terno d'Isola,18.0,19.0,14.0,16.0,22.0,16.0,12.0,14.0,18.0,11.0,19.0,11.0,20.0,18.0,27.0,27.0,12.0,26.0,14.0,18.0,16.0,10.0,20.0,17.0,16.0,19.0,23.0,14.0,15.0,12.0,5.0,4.0,24.0,29.0,8.0,23.0,22.0,11.0,10.0,18.0,24.0,15.0,18.0,21.0,7.0,15.0,22.0,18.0,18.0,12.0,10.0,15.0,18.0,19.0,7.0,17.0,18.0,19.0,20.0,16.0,16.0,22.0,28.0,14.0,18.0,18.0,20.0,15.0,18.0,6.0,17.0,9.0,15.0,19.0,21.0,22.0,16.0,22.0,13.0,16.0,29.0,18.0,15.0,22.0,23.0,15.0,19.0,25.0,15.0,22.0,11.0,25.0,18.0,21.0,14.0,17.0,10.0,21.0,19.0,16.0,29.0,28.0,16.0,17.0,22.0,20.0,18.0,22.0,21.0,19.0,16.0,16.0,17.0,18.0,14.0,18.0,21.0,19.0,29.0,28.0,16.0,23.0,27.0,11.0,18.0,21.0,14.0,20.0,7.0,8.0,17.0,6.0,24.0,26.0,28.0,20.0,21.0,16.0,20.0,14.0,11.0,17.0,29.0,18.0,25.0,21.0,18.0,27.0,27.0,12.0,11.0,17.0,13.0,13.0,17.0,19.0,22.0,19.0,19.0,21.0,18.0,21.0,29.0,27.0,18.0,22.0,7.0,14.0,11.0,14.0,18.0,21.0,18.0,11.0,25.0,16.0,23.0,24.0,25.0,21.0,19.0,15.0,16.0,17.0,14.0,17.0,15.0,14.0,19.0,21.0,15.0,24.0,17.0,18.0,15.0,20.0,27.0,8.0,27.0,15.0,4.0,19.0,17.0,14.0,14.0,16.0,6.0,20.0,23.0,18.0,0.0,15.0,24.0,19.0,16.0,13.0,13.0,11.0,13.0,15.0,14.0,22.0,12.0,26.0,29.0,29.0,22.0,22.0,13.0,14.0,18.0,22.0,22.0,27.0,11.0,12.0,20.0,16.0,19.0,18.0,18.0,14.0,14.0
Torre Boldone,14.0,20.0,7.0,7.0,22.0,8.0,15.0,12.0,5.0,14.0,20.0,16.0,16.0,23.0,26.0,23.0,6.0,22.0,9.0,22.0,15.0,13.0,18.0,21.0,4.0,11.0,14.0,16.0,9.0,17.0,14.0,15.0,17.0,26.0,16.0,17.0,19.0,17.0,11.0,17.0,25.0,6.0,10.0,14.0,16.0,20.0,15.0,19.0,16.0,16.0,19.0,16.0,12.0,22.0,16.0,8.0,21.0,13.0,20.0,21.0,14.0,13.0,28.0,7.0,14.0,9.0,13.0,7.0,15.0,18.0,8.0,16.0,14.0,12.0,10.0,21.0,8.0,15.0,12.0,13.0,29.0,10.0,17.0,24.0,15.0,12.0,16.0,19.0,9.0,22.0,10.0,22.0,9.0,17.0,18.0,19.0,15.0,19.0,7.0,20.0,24.0,27.0,13.0,21.0,21.0,15.0,12.0,22.0,18.0,11.0,9.0,12.0,6.0,12.0,10.0,13.0,20.0,12.0,29.0,27.0,8.0,17.0,27.0,12.0,15.0,15.0,16.0,12.0,17.0,12.0,12.0,15.0,24.0,24.0,26.0,12.0,15.0,14.0,13.0,21.0,7.0,4.0,28.0,14.0,23.0,15.0,13.0,25.0,27.0,12.0,12.0,18.0,10.0,11.0,14.0,14.0,17.0,7.0,13.0,14.0,16.0,20.0,29.0,27.0,18.0,13.0,12.0,7.0,16.0,17.0,9.0,16.0,13.0,12.0,22.0,3.0,17.0,16.0,18.0,10.0,17.0,18.0,21.0,14.0,12.0,8.0,10.0,15.0,18.0,15.0,4.0,23.0,10.0,11.0,5.0,15.0,24.0,15.0,25.0,11.0,15.0,13.0,17.0,13.0,7.0,16.0,15.0,20.0,15.0,14.0,15.0,0.0,23.0,20.0,9.0,7.0,18.0,9.0,14.0,9.0,11.0,17.0,13.0,24.0,29.0,29.0,20.0,22.0,11.0,13.0,9.0,22.0,18.0,22.0,19.0,10.0,15.0,6.0,16.0,18.0,16.0,9.0,11.0
Torre Pallavicina,21.0,16.0,22.0,24.0,14.0,25.0,26.0,26.0,22.0,25.0,23.0,25.0,21.0,18.0,13.0,9.0,25.0,14.0,22.0,22.0,21.0,25.0,22.0,21.0,24.0,20.0,18.0,27.0,23.0,26.0,24.0,25.0,8.0,14.0,24.0,19.0,18.0,25.0,24.0,21.0,16.0,23.0,24.0,24.0,24.0,19.0,19.0,18.0,20.0,23.0,23.0,24.0,18.0,14.0,23.0,23.0,21.0,24.0,19.0,19.0,22.0,24.0,11.0,23.0,22.0,24.0,17.0,24.0,21.0,23.0,23.0,23.0,24.0,22.0,25.0,26.0,24.0,25.0,22.0,25.0,11.0,23.0,22.0,17.0,24.0,22.0,19.0,15.0,24.0,24.0,25.0,15.0,21.0,16.0,21.0,21.0,24.0,17.0,24.0,21.0,9.0,12.0,24.0,19.0,15.0,19.0,24.0,12.0,17.0,24.0,23.0,20.0,24.0,25.0,23.0,23.0,18.0,23.0,11.0,10.0,24.0,23.0,14.0,26.0,26.0,22.0,24.0,18.0,24.0,24.0,20.0,23.0,16.0,17.0,12.0,19.0,20.0,22.0,20.0,25.0,24.0,23.0,11.0,25.0,13.0,20.0,20.0,11.0,19.0,25.0,26.0,22.0,26.0,26.0,20.0,24.0,23.0,23.0,23.0,16.0,21.0,19.0,11.0,9.0,24.0,23.0,24.0,23.0,24.0,24.0,23.0,19.0,24.0,24.0,18.0,23.0,11.0,19.0,18.0,23.0,25.0,25.0,21.0,24.0,25.0,21.0,25.0,26.0,20.0,22.0,23.0,15.0,25.0,22.0,24.0,24.0,15.0,21.0,12.0,26.0,23.0,24.0,21.0,25.0,25.0,25.0,24.0,17.0,24.0,18.0,24.0,23.0,0.0,18.0,21.0,23.0,24.0,25.0,27.0,24.0,24.0,22.0,26.0,12.0,12.0,11.0,25.0,13.0,26.0,23.0,25.0,20.0,14.0,16.0,22.0,26.0,24.0,22.0,22.0,23.0,21.0,24.0,25.0
Torre de' Busi,22.0,21.0,21.0,22.0,20.0,19.0,19.0,20.0,20.0,18.0,17.0,18.0,21.0,15.0,22.0,20.0,23.0,21.0,21.0,19.0,16.0,20.0,16.0,17.0,22.0,23.0,18.0,18.0,23.0,20.0,17.0,18.0,19.0,21.0,17.0,20.0,17.0,20.0,19.0,17.0,20.0,22.0,23.0,23.0,17.0,17.0,23.0,17.0,21.0,16.0,18.0,18.0,19.0,18.0,16.0,22.0,17.0,22.0,19.0,12.0,22.0,21.0,21.0,22.0,21.0,21.0,15.0,21.0,22.0,17.0,22.0,15.0,19.0,21.0,22.0,24.0,21.0,22.0,20.0,17.0,22.0,21.0,22.0,19.0,23.0,21.0,15.0,19.0,19.0,23.0,21.0,23.0,19.0,20.0,16.0,19.0,16.0,18.0,20.0,18.0,23.0,21.0,24.0,14.0,17.0,17.0,21.0,18.0,20.0,19.0,21.0,18.0,21.0,21.0,21.0,21.0,23.0,22.0,22.0,20.0,22.0,23.0,21.0,22.0,22.0,21.0,20.0,18.0,16.0,17.0,23.0,18.0,20.0,17.0,20.0,17.0,22.0,19.0,18.0,19.0,21.0,21.0,22.0,23.0,21.0,16.0,20.0,19.0,21.0,19.0,19.0,18.0,22.0,21.0,22.0,21.0,21.0,22.0,20.0,17.0,22.0,17.0,22.0,23.0,20.0,23.0,19.0,20.0,17.0,16.0,21.0,24.0,19.0,21.0,22.0,20.0,18.0,16.0,17.0,22.0,20.0,19.0,19.0,23.0,22.0,20.0,20.0,20.0,16.0,23.0,22.0,19.0,19.0,20.0,21.0,20.0,22.0,13.0,22.0,22.0,18.0,23.0,18.0,20.0,21.0,23.0,17.0,19.0,20.0,22.0,19.0,20.0,18.0,0.0,20.0,20.0,17.0,21.0,21.0,21.0,19.0,20.0,21.0,20.0,22.0,21.0,22.0,21.0,20.0,19.0,22.0,23.0,20.0,23.0,19.0,19.0,21.0,21.0,23.0,22.0,20.0,21.0,21.0
Torre de' Roveri,14.0,16.0,10.0,11.0,21.0,12.0,15.0,12.0,10.0,14.0,20.0,17.0,19.0,23.0,24.0,21.0,11.0,23.0,10.0,23.0,16.0,14.0,19.0,22.0,9.0,12.0,17.0,21.0,10.0,18.0,16.0,17.0,19.0,26.0,17.0,20.0,16.0,18.0,11.0,19.0,24.0,9.0,9.0,15.0,16.0,21.0,17.0,19.0,18.0,14.0,20.0,17.0,13.0,20.0,16.0,9.0,21.0,17.0,18.0,20.0,14.0,15.0,26.0,7.0,16.0,14.0,14.0,11.0,17.0,18.0,8.0,18.0,15.0,14.0,14.0,21.0,11.0,15.0,13.0,15.0,27.0,11.0,17.0,23.0,18.0,12.0,17.0,18.0,10.0,20.0,13.0,21.0,13.0,17.0,18.0,19.0,15.0,20.0,12.0,19.0,24.0,26.0,15.0,20.0,20.0,19.0,14.0,19.0,15.0,13.0,9.0,8.0,11.0,13.0,14.0,15.0,20.0,11.0,27.0,26.0,10.0,20.0,27.0,16.0,18.0,19.0,17.0,12.0,19.0,15.0,11.0,16.0,24.0,25.0,25.0,12.0,16.0,12.0,12.0,22.0,14.0,10.0,26.0,16.0,22.0,17.0,17.0,25.0,27.0,13.0,15.0,20.0,14.0,13.0,11.0,17.0,21.0,10.0,16.0,17.0,18.0,21.0,27.0,24.0,19.0,17.0,14.0,10.0,16.0,19.0,12.0,18.0,17.0,12.0,23.0,9.0,20.0,20.0,21.0,12.0,20.0,21.0,20.0,15.0,13.0,8.0,12.0,19.0,20.0,18.0,9.0,23.0,12.0,14.0,8.0,18.0,25.0,14.0,24.0,12.0,14.0,14.0,16.0,14.0,12.0,15.0,17.0,18.0,17.0,14.0,16.0,9.0,21.0,20.0,0.0,9.0,17.0,13.0,13.0,9.0,12.0,20.0,13.0,22.0,27.0,28.0,22.0,20.0,13.0,14.0,14.0,19.0,18.0,23.0,21.0,13.0,15.0,10.0,18.0,20.0,12.0,14.0,13.0
Trescore Balneario,11.0,15.0,5.0,10.0,22.0,10.0,14.0,13.0,9.0,16.0,20.0,17.0,20.0,22.0,27.0,23.0,7.0,24.0,9.0,20.0,17.0,13.0,20.0,21.0,10.0,11.0,17.0,18.0,9.0,19.0,15.0,17.0,21.0,26.0,17.0,20.0,19.0,17.0,14.0,20.0,25.0,7.0,10.0,15.0,17.0,17.0,19.0,19.0,19.0,17.0,20.0,16.0,10.0,20.0,17.0,7.0,21.0,14.0,21.0,22.0,13.0,15.0,28.0,6.0,14.0,12.0,13.0,7.0,15.0,19.0,8.0,15.0,18.0,13.0,12.0,19.0,11.0,18.0,12.0,16.0,29.0,12.0,15.0,24.0,17.0,9.0,16.0,18.0,13.0,21.0,14.0,23.0,9.0,16.0,18.0,20.0,16.0,18.0,12.0,18.0,26.0,27.0,11.0,19.0,21.0,17.0,13.0,20.0,18.0,10.0,11.0,8.0,8.0,10.0,13.0,14.0,18.0,12.0,29.0,27.0,13.0,17.0,26.0,16.0,17.0,16.0,18.0,12.0,17.0,14.0,12.0,15.0,24.0,25.0,25.0,12.0,17.0,15.0,11.0,19.0,12.0,10.0,28.0,14.0,24.0,16.0,14.0,26.0,26.0,14.0,17.0,19.0,12.0,14.0,13.0,16.0,20.0,10.0,16.0,15.0,14.0,20.0,29.0,27.0,18.0,18.0,12.0,10.0,17.0,18.0,11.0,17.0,14.0,13.0,23.0,10.0,18.0,19.0,20.0,13.0,18.0,19.0,18.0,12.0,9.0,9.0,11.0,17.0,19.0,15.0,7.0,23.0,13.0,11.0,10.0,19.0,26.0,13.0,26.0,12.0,13.0,12.0,14.0,15.0,10.0,16.0,16.0,19.0,19.0,14.0,13.0,7.0,23.0,20.0,9.0,0.0,17.0,13.0,14.0,13.0,12.0,21.0,13.0,25.0,29.0,28.0,19.0,21.0,16.0,16.0,11.0,21.0,17.0,24.0,19.0,12.0,14.0,9.0,15.0,17.0,13.0,12.0,11.0
Treviglio,22.0,20.0,17.0,21.0,26.0,19.0,15.0,18.0,17.0,15.0,17.0,8.0,20.0,14.0,27.0,28.0,16.0,25.0,17.0,13.0,10.0,16.0,19.0,18.0,15.0,21.0,24.0,16.0,21.0,10.0,13.0,13.0,25.0,29.0,14.0,24.0,20.0,11.0,15.0,15.0,24.0,20.0,21.0,16.0,13.0,12.0,22.0,19.0,18.0,9.0,15.0,6.0,21.0,21.0,13.0,18.0,19.0,19.0,21.0,15.0,17.0,20.0,28.0,17.0,21.0,22.0,23.0,21.0,23.0,13.0,21.0,13.0,12.0,18.0,22.0,18.0,15.0,23.0,16.0,17.0,29.0,17.0,21.0,21.0,19.0,19.0,13.0,27.0,15.0,22.0,14.0,26.0,16.0,23.0,6.0,11.0,8.0,24.0,19.0,11.0,28.0,27.0,18.0,14.0,22.0,19.0,20.0,25.0,25.0,20.0,15.0,20.0,16.0,21.0,16.0,20.0,21.0,20.0,29.0,27.0,15.0,22.0,27.0,14.0,18.0,18.0,8.0,24.0,12.0,14.0,18.0,15.0,24.0,21.0,27.0,22.0,22.0,16.0,23.0,10.0,15.0,18.0,29.0,20.0,27.0,22.0,21.0,26.0,27.0,12.0,10.0,15.0,17.0,14.0,22.0,20.0,20.0,19.0,21.0,23.0,21.0,21.0,29.0,26.0,14.0,22.0,16.0,15.0,15.0,9.0,22.0,23.0,20.0,17.0,19.0,19.0,25.0,23.0,24.0,16.0,18.0,17.0,14.0,19.0,16.0,18.0,18.0,16.0,19.0,23.0,20.0,24.0,16.0,19.0,16.0,21.0,28.0,15.0,28.0,15.0,14.0,20.0,19.0,12.0,13.0,17.0,12.0,20.0,21.0,18.0,13.0,18.0,24.0,17.0,17.0,17.0,0.0,12.0,20.0,13.0,14.0,17.0,18.0,27.0,29.0,29.0,19.0,23.0,13.0,12.0,22.0,24.0,24.0,27.0,20.0,16.0,22.0,16.0,18.0,14.0,21.0,17.0,19.0
